0,1,2,5
1,1,2,17205
2,1,4,4037
3,5,7,1
4,6,2,4106
5,8,9,1123
6,15,2,1317
7,15,2,6418
8,16,2,644
9,16,9,1142
10,18,2,5228
11,18,4,3931
12,18,8,187
13,18,9,15059
14,19,4,1109
15,20,2,442
16,20,2,594
17,20,2,761
18,20,2,936
19,20,2,1074
20,20,2,2144
21,20,2,7367
22,20,9,1735
23,21,2,459
24,21,2,460
25,21,2,461
26,21,2,462
27,21,2,463
28,21,2,464
29,21,2,465
30,21,2,466
31,21,2,1094
32,21,2,1237
33,21,2,1238
34,21,2,2020
35,21,2,2385
36,21,2,2386
37,21,2,2490
38,21,2,2680
39,21,2,4155
40,21,2,5252
41,21,2,8740
42,21,2,9999
43,21,2,12001
44,21,2,12859
45,21,2,16239
46,21,2,16287
47,21,2,16468
48,21,2,25161
49,21,2,31490
50,21,2,32051
51,21,3,34165
52,21,3,36239
53,21,4,2107
54,21,4,8171
55,21,4,15323
56,21,4,19123
57,21,4,31289
58,21,4,32437
59,21,4,36215
60,21,6,3848
61,21,12,813
62,21,12,10033
63,21,12,23933
64,21,12,23935
65,22,2,814
66,22,2,815
67,22,2,1190
68,22,2,5996
69,22,2,10731
70,22,2,10862
71,22,2,29697
72,22,3,6749
73,22,3,10276
74,22,6,36952
75,22,9,995
76,23,3,34307
77,23,9,1771
78,24,2,517
79,24,9,846
80,30,3,23023
81,30,3,28149
82,30,4,31
83,30,6,2759
84,30,6,3784
85,30,6,3785
86,30,6,3786
87,30,9,32
88,30,11,4130
89,31,7,30
90,32,8,30
91,33,6,10218
92,33,6,12113
93,33,6,12115
94,33,9,32379
95,43,5,467
96,43,5,27411
97,43,6,4672
98,43,9,468
99,44,9,45
100,45,2,46
101,45,2,4664
102,45,2,9716
103,45,2,12067
104,45,3,37537
105,45,4,10334
106,45,6,6591
107,45,6,11441
108,45,8,44
109,45,9,401
110,46,7,45
111,48,2,454
112,48,3,9332
113,48,3,11375
114,48,5,299
115,48,9,298
116,48,9,873
117,48,9,1143
118,48,9,1487
119,49,3,9611
120,49,6,50
121,49,9,304
122,50,2,1003
123,50,6,49
124,50,9,880
125,50,11,303
126,53,2,6709
127,53,9,394
128,54,6,937
129,54,6,22677
130,54,9,2969
131,58,4,1380
132,59,2,596
133,59,4,1311
134,60,2,4450
135,62,3,9353
136,62,5,5216
137,62,5,9393
138,62,9,291
139,63,2,1817
140,64,3,2237
141,64,6,18041
