1,2,5
1,2,17205
1,4,4037
5,7,1
6,2,4106
8,9,1123
15,2,1317
15,2,6418
16,2,644
16,9,1142
18,2,5228
18,4,3931
18,8,187
18,9,15059
19,4,1109
20,2,442
20,2,594
20,2,761
20,2,936
20,2,1074
20,2,2144
20,2,7367
20,9,1735
21,2,459
21,2,460
21,2,461
21,2,462
21,2,463
21,2,464
21,2,465
21,2,466
21,2,1094
21,2,1237
21,2,1238
21,2,2020
21,2,2385
21,2,2386
21,2,2490
21,2,2680
21,2,4155
21,2,5252
21,2,8740
21,2,9999
21,2,12001
21,2,12859
21,2,16239
21,2,16287
21,2,16468
21,2,25161
21,2,31490
21,2,32051
21,3,34165
21,3,36239
21,4,2107
21,4,8171
21,4,15323
21,4,19123
21,4,31289
21,4,32437
21,4,36215
21,6,3848
21,12,813
21,12,10033
21,12,23933
21,12,23935
22,2,814
22,2,815
22,2,1190
22,2,5996
22,2,10731
22,2,10862
22,2,29697
22,3,6749
22,3,10276
22,6,36952
22,9,995
23,3,34307
23,9,1771
24,2,517
24,9,846
30,3,23023
30,3,28149
30,4,31
30,6,2759
30,6,3784
30,6,3785
30,6,3786
30,9,32
30,11,4130
31,7,30
32,8,30
33,6,10218
33,6,12113
33,6,12115
33,9,32379
43,5,467
43,5,27411
43,6,4672
43,9,468
44,9,45
45,2,46
45,2,4664
45,2,9716
45,2,12067
45,3,37537
45,4,10334
45,6,6591
45,6,11441
45,8,44
45,9,401
46,7,45
48,2,454
48,3,9332
48,3,11375
48,5,299
48,9,298
48,9,873
48,9,1143
48,9,1487
49,3,9611
49,6,50
49,9,304
50,2,1003
50,6,49
50,9,880
50,11,303
53,2,6709
53,9,394
54,6,937
54,6,22677
54,9,2969
58,4,1380
59,2,596
59,4,1311
60,2,4450
62,3,9353
62,5,5216
62,5,9393
62,9,291
63,2,1817
64,3,2237
64,6,18041
64,9,65
65,2,1719
65,8,64
66,2,659
66,2,1593
67,9,35964
68,2,2589
69,2,3028
71,2,72
71,9,73
72,7,71
72,7,73
73,2,72
73,2,1015
73,8,71
73,8,6291
73,9,31931
75,3,34649
75,4,9494
75,8,560
75,9,8098
76,6,4985
76,6,12101
76,9,77
76,11,176
77,6,10153
77,8,76
77,9,1915
79,4,1836
79,6,7396
80,2,81
80,2,1917
80,2,3288
80,2,4540
80,2,7060
80,2,31973
80,3,1939
80,3,2302
80,3,5270
80,3,5723
80,3,7113
80,3,9040
80,3,9170
80,3,18449
80,3,19977
80,3,23259
80,3,24835
80,3,28149
80,4,1090
80,4,1091
80,4,1092
80,4,14007
80,4,20667
80,4,24371
80,6,10937
80,9,82
80,9,85
80,11,90
80,11,92
80,11,93
80,11,95
80,11,96
80,11,2391
80,11,2581
80,11,8287
80,11,10808
80,11,31251
80,12,7953
81,2,17717
81,3,5723
81,4,83
81,7,80
81,7,82
82,2,81
82,8,80
82,9,84
83,10,81
84,2,10581
84,2,32898
84,5,2695
84,8,82
84,9,85
85,2,8839
85,4,14007
85,4,24371
85,6,1967
85,6,1968
85,6,1969
85,8,80
85,8,84
85,9,86
86,2,9708
86,4,14007
86,4,24371
86,8,85
86,9,87
87,4,14007
87,4,24371
87,8,86
87,9,6336
87,9,32792
88,8,6336
88,8,36436
88,9,89
89,8,88
89,9,95
89,9,23259
90,3,22435
90,4,3626
90,7,80
90,9,91
90,9,2273
91,2,1939
91,6,2273
91,8,90
92,7,80
93,2,864
93,3,80
93,4,2269
93,9,2298
93,11,2743
94,2,1215
94,4,2294
94,8,2298
94,9,1241
95,4,3963
95,4,3964
95,7,80
96,7,80
97,4,12429
97,9,10336
98,2,673
98,2,8062
98,5,99
99,2,1659
99,2,8518
99,5,98
99,8,3268
99,9,1609
101,2,656
101,4,36032
101,6,713
103,9,367
106,5,2071
107,9,108
108,8,107
109,8,2205
112,2,705
112,2,765
112,3,275
112,3,964
115,8,118
116,5,117
117,5,116
117,9,118
118,8,117
118,9,115
121,2,908
121,4,664
121,6,5114
121,9,430
122,2,1996
123,9,380
124,8,381
125,6,126
126,6,125
127,9,128
128,8,127
129,2,484
129,2,3218
129,2,4476
129,8,2143
129,9,130
130,8,129
130,9,131
131,8,130
131,9,33726
133,2,1679
133,6,881
133,9,651
134,9,3231
135,4,2336
135,6,10765
135,9,645
136,2,10189
136,6,11061
136,9,137
137,6,11061
137,8,136
137,9,138
138,6,11061
138,8,137
138,9,139
139,6,11061
139,8,138
141,2,848
143,3,1810
144,6,1530
144,9,704
147,6,3318
147,11,281
147,11,1856
147,11,9170
148,2,7571
148,3,18643
149,2,3057
150,3,10490
150,3,10681
150,6,405
151,3,36976
151,6,1661
152,2,3138
154,4,3861
155,6,156
155,8,2729
156,6,155
156,8,595
157,3,34450
157,5,3948
157,5,4188
157,6,1546
157,9,33478
158,2,3468
158,9,444
161,2,9568
161,9,33185
165,2,559
165,4,5288
165,6,758
168,4,10592
168,4,12223
169,12,10012
170,2,1764
170,2,1861
170,2,2498
170,2,2499
174,4,760
174,9,448
176,2,12101
176,8,4849
176,12,76
177,2,807
177,9,969
177,12,861
178,6,179
179,6,178
180,4,1112
180,9,181
181,4,1111
181,8,180
182,6,393
185,4,821
185,4,12725
185,4,19613
185,9,186
186,2,822
186,4,821
186,4,12725
186,8,185
186,9,187
187,2,822
187,4,821
187,4,12725
187,8,186
187,9,18
