1,Side story,5
1,Side story,17205
1,Summary,4037
5,Parent story,1
6,Side story,4106
8,Sequel,1123
15,Side story,1317
15,Side story,6418
16,Sequel,1142
16,Side story,644
18,Prequel,187
18,Sequel,15059
18,Side story,5228
18,Summary,3931
19,Summary,1109
20,Sequel,1735
20,Side story,442
20,Side story,594
20,Side story,761
20,Side story,936
20,Side story,1074
20,Side story,2144
20,Side story,7367
21,Alternative version,3848
21,Character,813
21,Character,10033
21,Character,23933
21,Character,23935
21,Other,34165
21,Other,36239
21,Side story,459
21,Side story,460
21,Side story,461
21,Side story,462
21,Side story,463
21,Side story,464
21,Side story,465
21,Side story,466
21,Side story,1094
21,Side story,1237
21,Side story,1238
21,Side story,2020
21,Side story,2385
21,Side story,2386
21,Side story,2490
21,Side story,2680
21,Side story,4155
21,Side story,5252
21,Side story,8740
21,Side story,9999
21,Side story,12001
21,Side story,12859
21,Side story,16239
21,Side story,16287
21,Side story,16468
21,Side story,25161
21,Side story,31490
21,Side story,32051
21,Summary,2107
21,Summary,8171
21,Summary,15323
21,Summary,19123
21,Summary,31289
21,Summary,32437
21,Summary,36215
22,Alternative version,36952
22,Other,6749
22,Other,10276
22,Sequel,995
22,Side story,814
22,Side story,815
22,Side story,1190
22,Side story,5996
22,Side story,10731
22,Side story,10862
22,Side story,29697
23,Other,34307
23,Sequel,1771
24,Sequel,846
24,Side story,517
30,Alternative version,2759
30,Alternative version,3784
30,Alternative version,3785
30,Alternative version,3786
30,Other,23023
30,Other,28149
30,Sequel,32
30,Spin-off,4130
30,Summary,31
31,Parent story,30
32,Prequel,30
33,Alternative version,10218
33,Alternative version,12113
33,Alternative version,12115
33,Sequel,32379
43,Alternative setting,467
43,Alternative setting,27411
43,Alternative version,4672
43,Sequel,468
44,Sequel,45
45,Alternative version,6591
45,Alternative version,11441
45,Other,37537
45,Prequel,44
45,Sequel,401
45,Side story,46
45,Side story,4664
45,Side story,9716
45,Side story,12067
45,Summary,10334
46,Parent story,45
48,Alternative setting,299
48,Other,9332
48,Other,11375
48,Sequel,298
48,Sequel,873
48,Sequel,1143
48,Sequel,1487
48,Side story,454
49,Alternative version,50
49,Other,9611
49,Sequel,304
50,Alternative version,49
50,Sequel,880
50,Side story,1003
50,Spin-off,303
53,Sequel,394
53,Side story,6709
54,Alternative version,937
54,Alternative version,22677
54,Sequel,2969
58,Summary,1380
59,Side story,596
59,Summary,1311
60,Side story,4450
62,Alternative setting,5216
62,Alternative setting,9393
62,Other,9353
62,Sequel,291
63,Side story,1817
64,Alternative version,18041
64,Other,2237
64,Sequel,65
65,Prequel,64
65,Side story,1719
66,Side story,659
66,Side story,1593
67,Sequel,35964
68,Side story,2589
69,Side story,3028
71,Sequel,73
71,Side story,72
72,Parent story,71
72,Parent story,73
73,Prequel,71
73,Prequel,6291
73,Sequel,31931
73,Side story,72
73,Side story,1015
75,Other,34649
75,Prequel,560
75,Sequel,8098
75,Summary,9494
76,Alternative version,4985
76,Alternative version,12101
76,Sequel,77
76,Spin-off,176
77,Alternative version,10153
77,Prequel,76
77,Sequel,1915
79,Alternative version,7396
79,Summary,1836
80,Alternative version,10937
80,Character,7953
80,Other,1939
80,Other,2302
80,Other,5270
80,Other,5723
80,Other,7113
80,Other,9040
80,Other,9170
80,Other,18449
80,Other,19977
80,Other,23259
80,Other,24835
80,Other,28149
80,Sequel,82
80,Sequel,85
80,Side story,81
80,Side story,1917
80,Side story,3288
80,Side story,4540
80,Side story,7060
80,Side story,31973
80,Spin-off,90
80,Spin-off,92
80,Spin-off,93
80,Spin-off,95
80,Spin-off,96
80,Spin-off,2391
80,Spin-off,2581
80,Spin-off,8287
80,Spin-off,10808
80,Spin-off,31251
80,Summary,1090
80,Summary,1091
80,Summary,1092
80,Summary,14007
80,Summary,20667
80,Summary,24371
81,Other,5723
81,Parent story,80
81,Parent story,82
81,Side story,17717
81,Summary,83
82,Prequel,80
82,Sequel,84
82,Side story,81
83,Full story,81
84,Alternative setting,2695
84,Prequel,82
84,Sequel,85
84,Side story,10581
84,Side story,32898
85,Alternative version,1967
85,Alternative version,1968
85,Alternative version,1969
85,Prequel,80
85,Prequel,84
85,Sequel,86
85,Side story,8839
85,Summary,14007
85,Summary,24371
86,Prequel,85
86,Sequel,87
86,Side story,9708
86,Summary,14007
86,Summary,24371
87,Prequel,86
87,Sequel,6336
87,Sequel,32792
87,Summary,14007
87,Summary,24371
88,Prequel,6336
88,Prequel,36436
88,Sequel,89
89,Prequel,88
89,Sequel,95
89,Sequel,23259
90,Other,22435
90,Parent story,80
90,Sequel,91
90,Sequel,2273
90,Summary,3626
91,Alternative version,2273
91,Prequel,90
91,Side story,1939
92,Parent story,80
93,Other,80
93,Sequel,2298
93,Side story,864
93,Spin-off,2743
93,Summary,2269
94,Prequel,2298
94,Sequel,1241
94,Side story,1215
94,Summary,2294
95,Parent story,80
95,Summary,3963
95,Summary,3964
96,Parent story,80
97,Sequel,10336
97,Summary,12429
98,Alternative setting,99
98,Side story,673
98,Side story,8062
99,Alternative setting,98
99,Prequel,3268
99,Sequel,1609
99,Side story,1659
99,Side story,8518
101,Alternative version,713
101,Side story,656
101,Summary,36032
103,Sequel,367
106,Alternative setting,2071
107,Sequel,108
108,Prequel,107
109,Prequel,2205
112,Other,275
112,Other,964
112,Side story,705
112,Side story,765
115,Prequel,118
116,Alternative setting,117
117,Alternative setting,116
117,Sequel,118
118,Prequel,117
118,Sequel,115
121,Alternative version,5114
121,Sequel,430
121,Side story,908
121,Summary,664
122,Side story,1996
123,Sequel,380
124,Prequel,381
125,Alternative version,126
126,Alternative version,125
127,Sequel,128
128,Prequel,127
129,Prequel,2143
129,Sequel,130
129,Side story,484
129,Side story,3218
129,Side story,4476
130,Prequel,129
130,Sequel,131
131,Prequel,130
131,Sequel,33726
133,Alternative version,881
133,Sequel,651
133,Side story,1679
134,Sequel,3231
135,Alternative version,10765
135,Sequel,645
135,Summary,2336
136,Alternative version,11061
136,Sequel,137
136,Side story,10189
137,Alternative version,11061
137,Prequel,136
137,Sequel,138
138,Alternative version,11061
138,Prequel,137
138,Sequel,139
139,Alternative version,11061
139,Prequel,138
141,Side story,848
143,Other,1810
144,Alternative version,1530
144,Sequel,704
147,Alternative version,3318
147,Spin-off,281
147,Spin-off,1856
147,Spin-off,9170
148,Other,18643
148,Side story,7571
149,Side story,3057
150,Alternative version,405
150,Other,10490
150,Other,10681
151,Alternative version,1661
151,Other,36976
152,Side story,3138
154,Summary,3861
